model,task_id,regime,repeat_index,split_seed,temperature,ok,raw_final_hidden_test_metric,main_hidden_test_metric,final_hidden_test_metric,final_reward,selected_validation_metric,protocol_valid,hidden_test_protocol_valid,finalized_after_token_budget_exhaustion,agent_protocol_violation_count,terminal_selection_policy,terminal_path,llm_calls,working_llm_calls,selection_llm_calls,total_input_tokens,total_output_tokens,total_tokens,execution_failure_count,critical_category,forbidden_action_attempt_count,forbidden_action_attempted,forbidden_actions_attempted,n_model_actions,n_validated_candidates,n_distinct_model_families,model_family_sequence,selected_candidate_family,candidate_diversity_score,stopped_early,stop_after_n_candidates,early_stop_redirect_count,early_stop_redirected,candidate_first_redirect_count,candidate_first_redirected,masked_ablation_redirect_count,masked_ablation_redirected,final_reward_performance_contribution,slope_reward_performance_contribution,final_reward_plan_contribution,slope_reward_plan_contribution,final_reward_code_quality_contribution,slope_reward_code_quality_contribution,final_reward_weighted,slope_reward_weighted,slope_reward,val_first,val_last,val_min,val_max,val_delta,n_validations,task_normalized_hidden_test_metric,raw_task_normalized_hidden_test_metric,task_normalized_validation_metric
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,n_restarts_call_matched_upper_bound,1,67,0.7,True,-0.45235705032416607,-0.45235705032416607,-0.45235705032416607,0.7783965201465202,-0.45132086263167387,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,8005,9713,17718,0,none,0,False,,9,9,1,LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel,LinearModel,0.65,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.2848131868131868,0.00014455782312925277,0.9848131868131869,0.00014455782312925675,0.003920068027210887,-0.5093637055207361,-0.45132086263167387,-0.5093637055207361,-0.45132086263167387,0.058042842889062196,9,0.9280130586136992,0.9280130586136992,0.959426244341274
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,n_restarts_call_matched_upper_bound,1,42,0.7,True,-0.524690308716806,-0.524690308716806,-0.524690308716806,0.690110805860806,-0.4640933006743327,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,8005,10012,18017,0,none,0,False,,9,9,1,LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel,LinearModel,0.65,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.28224175824175823,2.267573696143081e-06,0.9822417582417583,2.267573696138455e-06,-0.006392290249433108,-0.5124755864384359,-0.4640933006743327,-0.5124755864384359,-0.4640933006743327,0.04838228576410325,9,0.24613718808493504,0.24613718808493504,0.7590457749425262
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,n_restarts_call_matched_upper_bound,0,42,0.7,True,-0.5217363447824941,-0.5217363447824941,-0.5217363447824941,0.7783965201465202,-0.46690634936690806,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,8005,10921,18926,0,none,0,False,,9,9,1,LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel,LinearModel,0.65,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.2848131868131868,0.0005269274376417229,0.9848131868131869,0.0005269274376417229,0.0170265873015873,-0.5124755864384359,-0.46690634936690806,-0.5124755864384359,-0.46690634936690806,0.04556923707152788,9,0.2739838076618634,0.2739838076618634,0.7149132439741124
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,unstructured_agent,0,42,0.7,True,-0.524690308716806,-0.524690308716806,-0.524690308716806,0.9565462962962963,-0.4640933006743327,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,22770,6606,29376,1,none,0,False,,11,7,1,LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel,LinearModel,0.65,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.016071428571428573,0.28367724867724864,-0.0017763605442176814,0.9836772486772487,0.014295068027210889,0.003985119047619049,-0.5124755864384359,-0.4640933006743327,-0.5124755864384359,-0.4640933006743327,0.04838228576410325,7,0.24613718808493504,0.24613718808493504,0.7590457749425262
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,unstructured_agent,0,67,0.7,True,-0.44472068972359075,-0.44472068972359075,-0.44472068972359075,0.7996574074074074,-0.4516399361228223,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,20452,7180,27632,2,none,0,False,,7,6,1,LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel,LinearModel,0.65,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.27978835978835975,-0.003345359572400393,0.9797883597883599,-0.003345359572400405,-0.0017814625850340257,-0.5075153873793056,-0.4516399361228223,-0.5075153873793056,-0.4516399361228223,0.055875451256483244,6,0.9999999999999686,0.9999999999999686,0.9544204579976265
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,unstructured_agent,1,67,0.7,True,-0.4529774600236801,,,0.7923690476190477,-0.4487346535971107,False,True,False,1,evaluator_best_validation,agent_violated_protocol,8,8,0,27486,8743,36229,2,none,0,False,,7,5,1,LinearModel;LinearModel;LinearModel;LinearModel;LinearModel,LinearModel,0.65,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.28021428571428575,-0.002246574344023319,0.9802142857142858,-0.002246574344023315,0.008267456268221578,-0.4487346535971107,-0.4487346535971107,-0.45198087397078074,-0.4487346535971107,0.0,5,,0.9221645400574872,1.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_stage_iterative,0,42,0.7,True,-0.5442293496960333,-0.5442293496960333,-0.5442293496960333,0.8482151067323482,-0.5124755864384359,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,42651,4989,47640,0,none,0,False,,3,3,2,LinearModel;RandomForest;LinearModel,LinearModel,1.0,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.2755960591133005,-0.0058508904804157645,0.9755960591133006,-0.005850890480415751,-0.04306823741919127,-0.5124755864384359,-0.5124755864384359,-28.68460546818443,-0.5124755864384359,0.0,3,0.061945284207375315,0.061945284207375315,0.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_iterative,1,42,0.7,True,-0.5442293496960333,-0.5442293496960333,-0.5442293496960333,0.8968518518518518,-0.5124755864384359,True,True,False,0,evaluator_best_validation,agent_final_submit,7,7,0,35137,3477,38614,0,none,0,False,,4,4,2,RandomForest;RandomForest;LinearModel;RandomForest,RandomForest,1.0,True,4.0,0,False,1,True,0,False,0.55,0.0,0.15,0.0,0.2792328042328042,-0.004870480268077524,0.9792328042328042,-0.0048704802680775185,-0.022968774991372235,-0.5124755864384359,-0.5124755864384359,-30.277889356890842,-0.5124755864384359,0.0,4,0.061945284207375315,0.061945284207375315,0.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_stage_iterative,1,67,0.7,True,-0.45297746002366623,-0.45297746002366623,-0.45297746002366623,0.3873352380952382,-0.4487346535971268,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,42211,4694,46905,0,none,0,False,,8,8,2,LinearModel;RandomForest;LinearModel;LinearModel;LinearModel;RandomForest;LinearModel;LinearModel,LinearModel,1.0,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.26833809523809526,-0.007352732707990031,0.9683380952380953,-0.007352732707990028,-0.04650026672159547,-0.5075153873793056,-0.4487346535971268,-30.73304008986071,-0.4487346535971268,0.058780733782178796,8,0.922164540057618,0.922164540057618,0.9999999999997474
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_stage_iterative,0,67,0.7,True,-0.4757832630797657,-0.4757832630797657,-0.4757832630797657,0.8582840722495896,-0.5075153873793056,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,42209,5432,47641,0,none,0,False,,4,4,2,LinearModel;LinearModel;RandomForest;LinearModel,LinearModel,1.0,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.2776650246305419,-0.005362906203279411,0.977665024630542,-0.005362906203279412,-0.03414311657509937,-0.5075153873793056,-0.5075153873793056,-30.73304008986071,-0.5075153873793056,0.0,4,0.7071773107035524,0.7071773107035524,0.07781811213020892
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_stage_iterative,1,42,0.7,True,-0.5442293496960333,-0.5442293496960333,-0.5442293496960333,0.8952495894909689,-0.5124755864384359,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,44617,7506,52123,1,none,0,False,,5,5,2,LinearModel;RandomForest;LinearModel;LinearModel;LinearModel,LinearModel,1.0,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.27963054187192116,-0.007379176437655811,0.9796305418719212,-0.007379176437655813,-0.04772809934015014,-0.5124755864384359,-0.5124755864384359,-26.747712060542522,-0.5124755864384359,0.0,5,0.061945284207375315,0.061945284207375315,0.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_iterative,0,42,0.7,True,-0.5193562834733031,-0.5193562834733031,-0.5193562834733031,0.7465185185185186,-0.4688860729882308,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,42859,6461,49320,0,none,0,False,,5,5,2,LinearModel;RandomForest;LinearModel;RandomForest;LinearModel,LinearModel,1.0,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.2766137566137566,-0.007082401620935446,0.9766137566137567,-0.00708240162093545,-0.03665425536243205,-0.4688860729882308,-0.4688860729882308,-30.513026613520132,-0.4688860729882308,0.0,5,0.2964203245999912,0.2964203245999912,0.6838543382902087
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_iterative,0,67,0.7,True,-0.45297746002366623,-0.45297746002366623,-0.45297746002366623,0.7362962962962963,-0.4487346535971268,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,41905,4127,46032,1,none,0,False,,6,5,2,LinearModel;RandomForest;LinearModel;RandomForest;LinearModel,LinearModel,1.0,False,,0,False,1,True,0,False,0.55,0.0,0.15,0.0,0.2743915343915344,-0.00414546176499533,0.9743915343915345,-0.004145461764995328,-0.009022218205276357,-0.4487346535971268,-0.4487346535971268,-54.24150919453175,-0.4487346535971268,0.0,5,0.922164540057618,0.922164540057618,0.9999999999997474
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_compact_feedback,1,42,0.7,True,-0.5246903087168031,-0.5246903087168031,-0.5246903087168031,0.8567261904761906,-0.46409330067431714,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,40646,4113,44759,0,none,0,False,,7,7,2,LinearModel;RandomForest;LinearModel;RandomForest;LinearModel;RandomForest;LinearModel,LinearModel,1.0,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.27914285714285714,-0.004088438735177861,0.9791428571428572,-0.004088438735177858,-0.02283503737463364,-0.5124755864384359,-0.46409330067431714,-30.277889356890842,-0.46409330067431714,0.04838228576411879,7,0.24613718808496224,0.24613718808496224,0.75904577494277
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_compact_feedback,0,67,0.7,True,-0.4757832630797657,-0.4757832630797657,-0.4757832630797657,0.9077363945578232,-0.5075153873793056,True,True,False,0,evaluator_best_validation,agent_final_submit,7,7,0,36452,3490,39942,0,none,0,False,,4,4,2,LinearModel;RandomForest;LinearModel;LinearModel,LinearModel,1.0,True,4.0,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.2821173469387755,-0.0060743929983060364,0.9821173469387756,-0.006074392998306039,-0.027801944018714202,-0.5075153873793056,-0.5075153873793056,-30.487595483568708,-0.5075153873793056,0.0,4,0.7071773107035524,0.7071773107035524,0.07781811213020892
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_compact_feedback,0,42,0.7,True,-0.5193562834733031,-0.5193562834733031,-0.5193562834733031,0.8592089490968803,-0.4688860729882308,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,43383,4955,48338,1,none,0,False,,9,7,2,LinearModel;LinearModel;LinearModel;RandomForest;LinearModel;LinearModel;LinearModel,LinearModel,1.0,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.2786256157635468,-0.005724822537710734,0.9786256157635469,-0.00572482253771074,-0.02352329192546584,-0.5124755864384359,-0.4688860729882308,-27.700223281203044,-0.4688860729882308,0.04358951345020512,7,0.2964203245999912,0.2964203245999912,0.6838543382902087
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_iterative,1,67,0.7,True,-0.45297746002366623,-0.45297746002366623,-0.45297746002366623,0.8667951559934319,-0.4487346535971268,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,40764,5215,45979,0,none,0,False,,7,7,2,LinearModel;RandomForest;LinearModel;LinearModel;LinearModel;RandomForest;LinearModel,LinearModel,1.0,False,,0,False,1,True,0,False,0.55,0.0,0.15,0.0,0.28121182266009853,-0.00429967949283002,0.9812118226600985,-0.004299679492830023,-0.01663402170429088,-0.5075153873793056,-0.4487346535971268,-27.39364851942178,-0.4487346535971268,0.058780733782178796,7,0.922164540057618,0.922164540057618,0.9999999999997474
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,flexible_compact_feedback,1,67,0.7,True,-0.4480708623959559,-0.4480708623959559,-0.4480708623959559,0.8667951559934319,-0.4533949455323764,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,39381,5722,45103,0,none,0,False,,8,7,2,LinearModel;LinearModel;LinearModel;GradientBoosting;LinearModel;LinearModel;LinearModel,LinearModel,1.0,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.28121182266009853,-0.005380157497781723,0.9812118226600985,-0.005380157497781717,-0.022301075865128656,-0.5075153873793056,-0.4533949455323764,-18.581786514953542,-0.4533949455323764,0.05412044184692916,7,0.9684183740902045,0.9684183740902045,0.9268869825475111
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_plan,0,42,0.7,True,-0.5507019939021407,,,0.3879330049261084,-0.5055924721031454,False,True,False,1,evaluator_best_validation,agent_violated_protocol,8,8,0,42891,4704,47595,1,none,0,False,,7,6,2,LinearModel;RandomForest;LinearModel;LinearModel;RandomForest;LinearModel,LinearModel,1.0,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.26983251231527094,-0.007029859881036171,0.969832512315271,-0.007029859881036171,-0.041903296450422706,-0.5124755864384359,-0.5055924721031454,-30.513026613520132,-0.5055924721031454,0.006883114335290541,6,,0.0009285403092251505,0.10798577975670919
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_plan,0,67,0.7,True,-0.4757832630797657,-0.4757832630797657,-0.4757832630797657,0.8673078231292518,-0.5075153873793056,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,43683,5815,49498,0,none,0,False,,6,5,2,LinearModel;RandomForest;LinearModel;LinearModel;LinearModel,LinearModel,1.0,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.28168877551020405,-0.008054312535290799,0.9816887755102042,-0.008054312535290802,-0.04657375944448926,-0.5075153873793056,-0.5075153873793056,-30.73304008986071,-0.5075153873793056,0.0,5,0.7071773107035524,0.7071773107035524,0.07781811213020892
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_plan,1,42,0.7,True,-0.5246903087168031,-0.5246903087168031,-0.5246903087168031,0.388760591133005,-0.46409330067431714,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,45071,6185,51256,0,none,0,False,,9,8,2,LinearModel;RandomForest;LinearModel;LinearModel;LinearModel;RandomForest;LinearModel;LinearModel,LinearModel,1.0,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.27190147783251234,-0.006410643704121961,0.9719014778325124,-0.006410643704121957,-0.04474257212766529,-0.5090625806525073,-0.46409330067431714,-26.6626340386896,-0.46409330067431714,0.04496927997819017,8,0.24613718808496224,0.24613718808496224,0.75904577494277
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_plan,1,67,0.7,True,-0.45297746002366623,-0.45297746002366623,-0.45297746002366623,0.7396751700680272,-0.4487346535971268,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,43728,7183,50911,0,none,0,False,,6,5,2,LinearModel;LinearModel;LinearModel;RandomForest;LinearModel,LinearModel,1.0,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.2747704081632653,-0.004196313751594476,0.9747704081632653,-0.004196313751594481,-0.026313291664499687,-0.4487346535971268,-0.4487346535971268,-30.802738672844004,-0.4487346535971268,0.0,5,0.922164540057618,0.922164540057618,0.9999999999997474
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_feature_engineering,0,42,0.7,True,-0.5508004932757335,-0.5508004932757335,-0.5508004932757335,0.8516227422003285,-0.5062977946717825,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,43702,3987,47689,0,none,0,False,,8,7,2,LinearModel;RandomForest;LinearModel;RandomForest;LinearModel;RandomForest;LinearModel,LinearModel,1.0,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.2760394088669951,-0.005710126441881097,0.9760394088669951,-0.005710126441881093,-0.023845330523513748,-0.5124755864384359,-0.5062977946717825,-30.2740853291621,-0.5062977946717825,0.006177791766653451,7,0.0,0.0,0.09692032248778439
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_eda,0,67,0.7,True,-0.45297746002366623,-0.45297746002366623,-0.45297746002366623,0.3891330049261085,-0.4487346535971268,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,41473,7177,48650,0,none,0,False,,7,7,2,LinearModel;RandomForest;LinearModel;RandomForest;LinearModel;RandomForest;LinearModel,LinearModel,1.0,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.27283251231527095,-0.007147792812777286,0.972832512315271,-0.007147792812777292,-0.043184882431233355,-0.5075153873793056,-0.4487346535971268,-51.80392195954005,-0.4487346535971268,0.058780733782178796,7,0.922164540057618,0.922164540057618,0.9999999999997474
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_eda,1,42,0.7,True,-0.5193562834733031,-0.5193562834733031,-0.5193562834733031,0.644139455782313,-0.4688860729882308,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,43168,8620,51788,2,none,0,False,,5,4,2,LinearModel;LinearModel;RandomForest;LinearModel,LinearModel,1.0,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.274234693877551,-0.005438532702405589,0.974234693877551,-0.005438532702405589,-0.023927342419705056,-0.4688860729882308,-0.4688860729882308,-26.747712060542522,-0.4688860729882308,0.0,4,0.2964203245999912,0.2964203245999912,0.6838543382902087
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_feature_engineering,0,67,0.7,True,-0.4757832630797657,-0.4757832630797657,-0.4757832630797657,0.8673078231292518,-0.5075153873793056,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,43035,4527,47562,2,none,0,False,,6,4,2,LinearModel;LinearModel;RandomForest;LinearModel,LinearModel,1.0,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.28168877551020405,-0.004788897106359301,0.9816887755102042,-0.004788897106359302,-0.017266122779237145,-0.5075153873793056,-0.5075153873793056,-30.496195977477967,-0.5075153873793056,0.0,4,0.7071773107035524,0.7071773107035524,0.07781811213020892
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,fixed_without_eda,1,67,0.7,True,-0.4757832630797657,-0.4757832630797657,-0.4757832630797657,0.7539506802721089,-0.5075153873793056,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,40958,7055,48013,1,none,0,False,,6,5,2,LinearModel;LinearModel;LinearModel;RandomForest;LinearModel,LinearModel,1.0,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.2763316326530612,-0.0029071499153020897,0.9763316326530613,-0.002907149915302082,-0.025717243083003948,-0.5075153873793056,-0.5075153873793056,-29.674520108778236,-0.5075153873793056,0.0,5,0.7071773107035524,0.7071773107035524,0.07781811213020892
